Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Alameda,06001433700,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433801,4,Yes,No,Yes,No,No,Yes,No,Yes
Alameda,06001433802,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001433900,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001434000,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435102,4,Yes,Yes,No,No,No,Yes,No,Yes
Alameda,06001435103,5,No,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001435104,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001435200,3,Yes,No,Yes,No,No,No,No,Yes
Alameda,06001435300,3,Yes,Yes,No,No,No,No,No,Yes
Alameda,06001435400,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435500,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435601,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435602,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435700,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435800,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001435900,4,Yes,Yes,No,No,No,Yes,No,Yes
Alameda,06001436000,5,Yes,Yes,No,No,Yes,Yes,No,Yes
Alameda,06001436100,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Alameda,06001436200,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Alameda,06001436301,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001436302,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001436402,2,Yes,No,No,No,No,No,No,Yes
Alameda,06001436403,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001436404,3,Yes,Yes,No,No,No,No,No,Yes
Alameda,06001436500,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001436601,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001436602,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001436700,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Alameda,06001436800,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001436900,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Alameda,06001437000,5,Yes,Yes,Yes,No,Yes,Yes,No,No
Alameda,06001437101,6,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Alameda,06001437102,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001437200,5,Yes,Yes,Yes,No,Yes,Yes,No,No
Alameda,06001437300,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001437400,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001437500,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001437600,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001437701,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001437702,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001437800,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001437900,2,Yes,No,No,No,No,Yes,No,No
Alameda,06001438000,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001438100,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001438201,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001438203,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001438204,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001438300,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001438400,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001440100,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001440200,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001440301,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001440304,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001440305,3,Yes,Yes,No,No,No,Yes,No,No
