Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
San Diego,06073010501,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073010502,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073010601,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073010800,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073010900,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073011000,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073011100,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073011300,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073011601,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073011602,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073011700,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073011801,5,Yes,Yes,Yes,Yes,No,Yes,No,No
San Diego,06073011802,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073011902,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073012002,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073012003,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073012101,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073012102,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073012200,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073012302,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073012303,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073012304,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073012401,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073012402,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073012501,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073012502,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073012600,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073012700,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073012800,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073012900,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073013000,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073013102,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073013103,5,Yes,Yes,Yes,Yes,No,Yes,No,No
San Diego,06073013104,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073013203,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073013204,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073013205,5,Yes,Yes,Yes,Yes,No,Yes,No,No
San Diego,06073013206,4,Yes,Yes,No,Yes,No,Yes,No,No
San Diego,06073013301,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013302,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073013303,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073013306,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073013307,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073013308,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073013309,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013312,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013315,0,No,No,No,No,No,No,No,No
San Diego,06073013316,1,No,No,Yes,No,No,No,No,No
San Diego,06073013317,4,No,Yes,Yes,Yes,No,No,Yes,No
San Diego,06073013318,1,No,No,Yes,No,No,No,No,No
San Diego,06073013319,1,No,No,Yes,No,No,No,No,No
San Diego,06073013320,1,No,No,No,Yes,No,No,No,No
San Diego,06073013321,0,No,No,No,No,No,No,No,No
San Diego,06073013322,0,No,No,No,No,No,No,No,No
San Diego,06073013323,1,No,No,Yes,No,No,No,No,No
San Diego,06073013324,0,No,No,No,No,No,No,No,No
San Diego,06073013325,0,No,No,No,No,No,No,No,No
San Diego,06073013326,0,No,No,No,No,No,No,No,No
San Diego,06073013327,0,No,No,No,No,No,No,No,No
San Diego,06073013401,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013409,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013411,1,Yes,No,No,No,No,No,No,No
San Diego,06073013412,1,No,No,Yes,No,No,No,No,No
San Diego,06073013414,0,No,No,No,No,No,No,No,No
San Diego,06073013415,0,No,No,No,No,No,No,No,No
San Diego,06073013416,1,Yes,No,No,No,No,No,No,No
San Diego,06073013417,1,No,No,Yes,No,No,No,No,No
San Diego,06073013418,1,No,No,Yes,No,No,No,No,No
San Diego,06073013420,0,No,No,No,No,No,No,No,No
San Diego,06073013421,0,No,No,No,No,No,No,No,No
San Diego,06073013422,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013423,1,No,No,Yes,No,No,No,No,No
San Diego,06073013424,1,No,No,Yes,No,No,No,No,No
San Diego,06073013425,1,No,No,No,Yes,No,No,No,No
San Diego,06073013503,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013504,1,Yes,No,No,No,No,No,No,No
San Diego,06073013505,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013506,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013601,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013604,1,No,No,Yes,No,No,No,No,No
San Diego,06073013605,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013607,1,No,No,Yes,No,No,No,No,No
San Diego,06073013608,1,No,No,Yes,No,No,No,No,No
San Diego,06073013701,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013702,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013801,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073013802,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013903,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013905,1,Yes,No,No,No,No,No,No,No
San Diego,06073013906,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013907,1,Yes,No,No,No,No,No,No,No
San Diego,06073013908,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073013909,1,Yes,No,No,No,No,No,No,No
San Diego,06073014001,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073014002,4,Yes,No,Yes,Yes,No,Yes,No,No
San Diego,06073014101,3,Yes,No,No,Yes,No,Yes,No,No
San Diego,06073014102,3,Yes,No,No,Yes,No,Yes,No,No
San Diego,06073014200,3,Yes,No,No,Yes,No,Yes,No,No
San Diego,06073014300,4,Yes,No,Yes,Yes,No,Yes,No,No
San Diego,06073014400,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073014500,4,Yes,No,Yes,Yes,No,Yes,No,No
San Diego,06073014601,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073014602,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073014701,3,Yes,No,No,Yes,No,Yes,No,No
San Diego,06073014702,2,Yes,No,No,Yes,No,No,No,No
San Diego,06073014803,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073014804,2,Yes,No,No,Yes,No,No,No,No
San Diego,06073014805,4,Yes,No,Yes,Yes,No,Yes,No,No
San Diego,06073014806,4,Yes,No,Yes,Yes,No,Yes,No,No
San Diego,06073014901,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073014902,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073015001,4,Yes,No,Yes,Yes,No,Yes,No,No
San Diego,06073015002,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073015100,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073015200,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073015301,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073015302,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073015403,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073015405,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073015406,0,No,No,No,No,No,No,No,No
San Diego,06073015407,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073015408,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073015501,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073015502,1,No,No,Yes,No,No,No,No,No
San Diego,06073015601,1,Yes,No,No,No,No,No,No,No
San Diego,06073015602,1,Yes,No,No,No,No,No,No,No
San Diego,06073015701,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073015704,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073015705,1,No,Yes,No,No,No,No,No,No
San Diego,06073015706,1,No,Yes,No,No,No,No,No,No
San Diego,06073015801,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073015802,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073015901,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073015902,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073016000,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073016100,5,Yes,Yes,Yes,Yes,No,Yes,No,No
San Diego,06073016201,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073016202,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073016301,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016302,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016401,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016403,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073016404,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073016502,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073016503,4,Yes,Yes,Yes,No,Yes,No,No,No
San Diego,06073016504,4,Yes,Yes,Yes,No,Yes,No,No,No
San Diego,06073016606,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073016607,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016608,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073016609,1,Yes,No,No,No,No,No,No,No
San Diego,06073016610,1,Yes,No,No,No,No,No,No,No
San Diego,06073016613,1,Yes,No,No,No,No,No,No,No
San Diego,06073016614,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073016615,3,No,Yes,No,No,Yes,Yes,No,No
San Diego,06073016616,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073016617,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073016618,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073016619,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073016620,1,Yes,No,No,No,No,No,No,No
San Diego,06073016621,2,Yes,No,No,Yes,No,No,No,No
San Diego,06073016703,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016704,4,Yes,Yes,Yes,No,Yes,No,No,No
San Diego,06073016705,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016706,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016804,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016806,1,Yes,No,No,No,No,No,No,No
San Diego,06073016807,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016809,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073016810,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073016811,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016812,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016813,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073016901,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073016902,4,Yes,Yes,Yes,No,No,No,Yes,No
San Diego,06073017006,3,Yes,Yes,No,Yes,No,No,No,No
San Diego,06073017009,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073017010,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017014,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017018,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073017020,2,Yes,No,No,Yes,No,No,No,No
San Diego,06073017021,1,No,No,Yes,No,No,No,No,No
San Diego,06073017022,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017031,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017033,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017034,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017035,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073017036,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073017037,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073017039,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073017040,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073017041,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073017043,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017044,2,No,Yes,No,Yes,No,No,No,No
San Diego,06073017045,2,No,Yes,No,Yes,No,No,No,No
San Diego,06073017046,2,No,Yes,No,Yes,No,No,No,No
San Diego,06073017047,3,Yes,Yes,No,Yes,No,No,No,No
San Diego,06073017048,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073017049,3,Yes,Yes,No,Yes,No,No,No,No
San Diego,06073017050,3,Yes,Yes,No,Yes,No,No,No,No
San Diego,06073017051,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017052,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017053,1,Yes,No,No,No,No,No,No,No
San Diego,06073017054,2,Yes,No,No,Yes,No,No,No,No
San Diego,06073017055,1,No,No,No,Yes,No,No,No,No
San Diego,06073017056,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017057,4,Yes,Yes,Yes,Yes,No,No,No,No
San Diego,06073017058,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017059,3,Yes,Yes,No,Yes,No,No,No,No
San Diego,06073017060,1,No,No,No,Yes,No,No,No,No
San Diego,06073017061,1,No,No,No,Yes,No,No,No,No
San Diego,06073017062,1,No,No,No,Yes,No,No,No,No
San Diego,06073017063,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017064,2,No,Yes,No,Yes,No,No,No,No
San Diego,06073017065,1,No,No,No,Yes,No,No,No,No
San Diego,06073017066,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017067,2,No,Yes,No,Yes,No,No,No,No
San Diego,06073017068,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073017069,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017070,2,No,Yes,No,Yes,No,No,No,No
San Diego,06073017071,3,No,Yes,Yes,Yes,No,No,No,No
San Diego,06073017104,1,Yes,No,No,No,No,No,No,No
San Diego,06073017106,2,Yes,No,No,Yes,No,No,No,No
San Diego,06073017107,0,No,No,No,No,No,No,No,No
San Diego,06073017108,1,Yes,No,No,No,No,No,No,No
San Diego,06073017109,0,No,No,No,No,No,No,No,No
San Diego,06073017111,1,No,No,No,Yes,No,No,No,No
San Diego,06073017112,0,No,No,No,No,No,No,No,No
San Diego,06073017113,0,No,No,No,No,No,No,No,No
San Diego,06073017201,3,No,No,No,Yes,No,Yes,Yes,No
San Diego,06073017202,4,Yes,No,No,Yes,No,Yes,Yes,No
San Diego,06073017303,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017305,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073017306,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073017307,3,Yes,No,No,No,No,Yes,Yes,No
San Diego,06073017308,4,No,No,Yes,Yes,No,Yes,Yes,No
San Diego,06073017403,1,Yes,No,No,No,No,No,No,No
San Diego,06073017405,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017406,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017407,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017408,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017501,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017502,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017601,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017603,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017605,2,No,No,Yes,No,No,Yes,No,No
San Diego,06073017606,1,Yes,No,No,No,No,No,No,No
San Diego,06073017701,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017702,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073017801,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073017808,2,No,No,Yes,No,No,Yes,No,No
San Diego,06073017809,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017810,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017811,2,No,No,Yes,No,No,Yes,No,No
San Diego,06073017813,2,No,No,Yes,No,No,Yes,No,No
San Diego,06073017901,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073017902,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073018000,1,No,No,No,No,No,Yes,No,No
San Diego,06073018101,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018102,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018201,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018202,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018301,3,No,Yes,Yes,No,No,Yes,No,No
San Diego,06073018302,1,No,No,No,No,No,Yes,No,No
San Diego,06073018400,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018504,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018509,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073018510,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073018511,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073018512,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018515,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018516,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073018517,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073018518,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073018519,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073018520,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073018521,1,No,No,Yes,No,No,No,No,No
San Diego,06073018522,2,No,Yes,No,No,No,Yes,No,No
San Diego,06073018523,1,No,No,Yes,No,No,No,No,No
San Diego,06073018524,1,No,No,Yes,No,No,No,No,No
San Diego,06073018525,1,No,No,Yes,No,No,No,No,No
San Diego,06073018601,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073018608,1,No,Yes,No,No,No,No,No,No
San Diego,06073018609,0,No,No,No,No,No,No,No,No
San Diego,06073018612,1,No,No,Yes,No,No,No,No,No
San Diego,06073018613,1,No,Yes,No,No,No,No,No,No
San Diego,06073018615,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073018616,4,Yes,Yes,Yes,No,Yes,No,No,No
San Diego,06073018617,1,Yes,No,No,No,No,No,No,No
San Diego,06073018618,1,Yes,No,No,No,No,No,No,No
San Diego,06073018619,0,No,No,No,No,No,No,No,No
San Diego,06073018620,1,Yes,No,No,No,No,No,No,No
San Diego,06073018621,4,Yes,Yes,Yes,No,Yes,No,No,No
San Diego,06073018622,1,No,Yes,No,No,No,No,No,No
San Diego,06073018700,5,Yes,Yes,Yes,No,Yes,Yes,No,No
San Diego,06073018801,2,Yes,No,No,No,Yes,No,No,No
San Diego,06073018803,1,No,No,Yes,No,No,No,No,No
San Diego,06073018804,1,No,No,Yes,No,No,No,No,No
San Diego,06073018805,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073018903,1,Yes,No,No,No,No,No,No,No
San Diego,06073018904,1,Yes,No,No,No,No,No,No,No
San Diego,06073018905,2,Yes,No,No,No,Yes,No,No,No
San Diego,06073018906,1,No,No,No,No,Yes,No,No,No
San Diego,06073019001,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019002,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019103,1,No,No,Yes,No,No,No,No,No
San Diego,06073019105,1,No,No,Yes,No,No,No,No,No
San Diego,06073019107,0,No,No,No,No,No,No,No,No
San Diego,06073019108,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019109,1,No,No,Yes,No,No,No,No,No
San Diego,06073019110,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019111,1,Yes,No,No,No,No,No,No,No
San Diego,06073019203,1,Yes,No,No,No,No,No,No,No
San Diego,06073019205,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019206,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019208,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019209,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019210,1,Yes,No,No,No,No,No,No,No
San Diego,06073019301,1,No,No,No,No,No,Yes,No,No
San Diego,06073019303,2,No,No,Yes,No,No,Yes,No,No
San Diego,06073019304,1,No,No,No,No,No,Yes,No,No
San Diego,06073019305,1,No,No,No,No,No,Yes,No,No
San Diego,06073019403,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019404,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019405,2,No,No,Yes,No,No,Yes,No,No
San Diego,06073019406,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073019501,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019502,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019503,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073019601,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019602,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073019701,1,No,No,Yes,No,No,No,No,No
San Diego,06073019702,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073019803,2,No,Yes,Yes,No,No,No,No,No
San Diego,06073019804,0,No,No,No,No,No,No,No,No
San Diego,06073019805,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073019808,1,No,Yes,No,No,No,No,No,No
San Diego,06073019809,0,No,No,No,No,No,No,No,No
San Diego,06073019810,1,No,Yes,No,No,No,No,No,No
San Diego,06073019811,2,No,Yes,No,No,Yes,No,No,No
San Diego,06073019902,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073019903,2,Yes,No,No,No,No,Yes,No,No
San Diego,06073019904,3,No,Yes,Yes,No,No,Yes,No,No
San Diego,06073019905,1,No,Yes,No,No,No,No,No,No
San Diego,06073020015,0,No,No,No,No,No,No,No,No
San Diego,06073020017,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020019,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073020021,2,No,Yes,No,No,No,Yes,No,No
San Diego,06073020023,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020024,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073020025,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020026,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020028,3,No,Yes,Yes,No,No,Yes,No,No
San Diego,06073020029,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020030,2,No,Yes,No,No,Yes,No,No,No
San Diego,06073020031,1,No,Yes,No,No,No,No,No,No
San Diego,06073020032,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073020033,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073020034,0,No,No,No,No,No,No,No,No
San Diego,06073020035,0,No,No,No,No,No,No,No,No
San Diego,06073020036,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073020037,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020038,2,No,Yes,No,No,No,Yes,No,No
San Diego,06073020039,2,No,Yes,No,No,No,Yes,No,No
San Diego,06073020040,2,No,Yes,No,No,No,Yes,No,No
San Diego,06073020041,2,No,Yes,No,No,No,Yes,No,No
San Diego,06073020042,1,No,Yes,No,No,No,No,No,No
San Diego,06073020043,0,No,No,No,No,No,No,No,No
San Diego,06073020044,1,No,Yes,No,No,No,No,No,No
San Diego,06073020105,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073020106,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073020107,1,Yes,No,No,No,No,No,No,No
San Diego,06073020108,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073020109,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073020110,0,No,No,No,No,No,No,No,No
San Diego,06073020111,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020202,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073020206,1,Yes,No,No,No,No,No,No,No
San Diego,06073020207,1,Yes,No,No,No,No,No,No,No
San Diego,06073020208,1,Yes,No,No,No,No,No,No,No
San Diego,06073020209,1,Yes,No,No,No,No,No,No,No
San Diego,06073020210,0,No,No,No,No,No,No,No,No
San Diego,06073020211,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020213,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073020214,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020304,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073020305,3,Yes,Yes,Yes,No,No,No,No,No
San Diego,06073020308,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020309,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020310,3,No,Yes,Yes,No,No,Yes,No,No
San Diego,06073020311,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020312,1,No,Yes,No,No,No,No,No,No
San Diego,06073020313,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020401,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073020403,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020404,2,No,Yes,Yes,No,No,No,No,No
San Diego,06073020405,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020500,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020601,3,Yes,Yes,No,No,No,Yes,No,No
San Diego,06073020602,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073020705,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020706,3,Yes,No,Yes,Yes,No,No,No,No
San Diego,06073020707,2,Yes,Yes,No,No,No,No,No,No
San Diego,06073020708,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020710,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073020711,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073020712,1,Yes,No,No,No,No,No,No,No
San Diego,06073020801,5,Yes,No,Yes,Yes,Yes,No,Yes,No
San Diego,06073020805,3,Yes,No,Yes,No,Yes,No,No,No
San Diego,06073020806,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020807,2,No,No,Yes,Yes,No,No,No,No
San Diego,06073020810,1,No,No,Yes,No,No,No,No,No
San Diego,06073020811,0,No,No,No,No,No,No,No,No
San Diego,06073020812,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020813,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020902,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020903,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073020904,2,Yes,No,Yes,No,No,No,No,No
San Diego,06073021001,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073021002,3,Yes,No,Yes,No,Yes,No,No,No
San Diego,06073021101,4,Yes,Yes,Yes,No,No,Yes,No,No
San Diego,06073021102,3,Yes,No,Yes,No,No,Yes,No,No
San Diego,06073021202,2,Yes,No,Yes,No,No,No,No,No
